000001,115,195,933,1730211227,Amaz0n
000002,128,133,516,1730211228,Groceries
000003,129,163,794,1730211229,Electronics
000004,146,189,534,1730211230,Amazon purchase
000005,142,110,638,1730211231,Deposit
000006,106,118,895,1730211232,G00gle
000007,138,198,135,1730211233,Amaz0n
000008,124,168,878,1730211234,FREE gift
000009,115,112,337,1730211235,PRIZE winner
000010,197,153,671,1730211236,Salary
000011,169,165,156,1730211237,DISCOUNT deal
000012,154,142,768,1730211238,Micro$oft
000013,152,106,586,1730211239,Invoice payment
000014,176,133,409,1730211240,FREE gift
000015,132,145,437,1730211241,Subscription fee
000016,165,167,500,1730211242,Utility bill
000017,131,137,823,1730211243,Insurance premium
000018,142,194,459,1730211244,Transfer
000019,111,115,379,1730211245,DISCOUNT deal
000020,110,199,265,1730211246,SALE offer
000021,157,151,425,1730211247,Deposit
000022,184,134,452,1730211248,PRIZE winner
000023,131,189,977,1730211249,Ebayy
000024,109,177,676,1730211250,DISCOUNT deal
000025,166,151,521,1730211251,Subscription fee
000026,197,181,872,1730211252,Subscription fee
000027,148,103,425,1730211253,Subscription fee
000028,154,190,173,1730211254,Transfer
000029,193,150,649,1730211255,Salary
000030,136,102,1046,1730211256,PRIZE winner
000031,143,123,816,1730211257,Electronics
000032,152,193,845,1730211258,PRIZE winner
000033,196,166,1079,1730211259,WINNER announcement
000034,199,103,254,1730211260,Amazon purchase
000035,158,180,458,1730211261,Withdrawal
000036,122,183,275,1730211262,FREE gift
000037,185,177,694,1730211263,G00gle
000038,179,192,142,1730211264,Faceb00k
000039,168,158,179,1730211265,Amaz0n
000040,103,124,691,1730211266,Electronics
000041,142,122,1098,1730211267,OFFER limited
000042,125,152,942,1730211268,Subscription fee
000043,184,152,247,1730211269,Mortgage payment
000044,188,174,575,1730211270,Micro$oft
000045,151,121,647,1730211271,Utility bill
000046,113,189,457,1730211272,Subscription fee
000047,100,136,706,1730211273,Utility bill
000048,160,197,607,1730211274,Electronics
000049,119,105,696,1730211275,Ebayy
000050,110,138,831,1730211276,WINNER announcement
000051,143,178,753,1730211277,Insurance premium
000052,152,128,1056,1730211278,Insurance premium
000053,149,104,838,1730211279,DISCOUNT deal
000054,145,195,1048,1730211280,G00gle
000055,131,106,1053,1730211281,PRIZE winner
000056,103,112,846,1730211282,Faceb00k
000057,170,194,522,1730211283,Utility bill
000058,133,153,126,1730211284,Salary
000059,131,132,959,1730211285,Deposit
000060,160,115,692,1730211286,Withdrawal
000061,171,182,729,1730211287,WINNER announcement
000062,178,177,1066,1730211288,Refund
000063,184,171,905,1730211289,SALE offer
000064,184,151,966,1730211290,Rent payment
000065,145,188,886,1730211291,Utility bill
000066,194,112,1010,1730211292,Electronics
000067,196,169,565,1730211293,Mortgage payment
000068,137,109,871,1730211294,Invoice payment
000069,192,100,529,1730211295,Amaz0n
000070,129,196,631,1730211296,DISCOUNT deal
000071,167,136,557,1730211297,Salary
000072,139,175,957,1730211298,Withdrawal
000073,115,195,667,1730211299,Refund
000074,160,130,387,1730211300,Insurance premium
000075,199,152,813,1730211301,Transfer
000076,162,136,301,1730211302,Rent payment
000077,188,130,576,1730211303,Amaz0n
000078,178,107,535,1730211304,Ebayy
000079,196,144,601,1730211305,Invoice payment
000080,119,159,872,1730211306,Invoice payment
000081,154,192,796,1730211307,FREE gift
000082,122,135,323,1730211308,Micro$oft
000083,188,114,702,1730211309,Amazon purchase
000084,115,108,813,1730211310,Amaz0n
000085,184,135,1024,1730211311,PRIZE winner
000086,171,122,839,1730211312,OFFER limited
000087,123,175,739,1730211313,Refund
000088,199,126,341,1730211314,FREE gift
000089,122,107,113,1730211315,Subscription fee
000090,130,139,798,1730211316,WINNER announcement
000091,153,100,196,1730211317,PRIZE winner
000092,160,161,465,1730211318,WINNER announcement
000093,197,141,1039,1730211319,Amaz0n
000094,115,179,1087,1730211320,SALE offer
000095,106,126,125,1730211321,Utility bill
000096,104,166,1097,1730211322,Electronics
000097,126,162,837,1730211323,Insurance premium
000098,153,135,127,1730211324,Insurance premium
000099,187,123,1026,1730211325,G00gle
000100,137,192,943,1730211326,Refund
000101,185,134,854,1730211327,Groceries
000102,113,193,192,1730211328,WINNER announcement
000103,172,117,477,1730211329,Groceries
